市区町村コード,転入_総人数,転入65歳以上,転入25歳～29歳,転入30歳～34歳,転入35歳～39歳,転出_総人数,転出65歳以上,転出25歳～29歳,転出30歳～34歳,35歳～39歳
20305,211,18,54,26,9,148,7,33,13,13
20306,47,5,5,7,7,24,6,3,1,3
20307,37,1,5,2,1,56,5,6,2,4
20309,245,20,28,25,30,330,30,50,32,24
20320,2770,242,358,223,255,2037,167,379,212,168
20321,1642,148,169,109,140,1075,96,181,107,90
20323,955,80,160,99,100,778,55,163,89,62
20324,173,14,29,15,15,184,16,35,16,16
20340,291,38,30,32,21,308,46,43,34,20
20349,137,15,14,19,12,123,14,18,12,12
20350,154,23,16,13,9,185,32,25,22,8
20360,1374,132,214,163,120,1397,119,215,153,106
20361,575,42,117,74,54,692,67,120,72,47
20362,479,44,69,58,43,449,28,67,59,39
20363,320,46,28,31,23,256,24,28,22,20
20380,2562,213,482,338,190,2604,194,461,306,202
20382,452,50,79,48,31,511,34,99,43,33
20383,786,69,161,95,51,870,66,157,105,72
20384,325,30,54,49,24,265,17,45,33,17
20385,668,51,132,94,50,575,29,96,76,50
20386,101,2,16,20,9,137,19,30,21,12
20388,230,11,40,32,25,246,29,34,28,18
20400,1448,185,220,182,105,1691,159,273,178,104
20402,266,22,38,44,25,362,29,65,31,29
20403,343,37,69,38,29,312,22,67,38,24
20404,113,32,8,11,7,144,19,25,17,6
20407,152,21,17,19,9,206,10,24,24,8
20409,23,0,5,6,2,21,3,2,3,1
20410,39,3,5,4,4,39,7,7,0,2
20411,83,9,17,8,3,91,4,15,12,6
20412,34,3,4,1,2,59,12,4,5,1
20413,32,13,2,2,2,42,17,5,1,6
20414,43,12,3,4,1,47,2,2,5,2
20415,118,19,20,11,6,188,17,28,22,13
20416,173,9,30,28,15,139,5,23,19,5
20417,29,5,2,6,0,41,12,6,1,1
20420,713,53,94,106,48,913,80,149,115,68
20422,107,14,20,14,4,121,12,21,19,6
20423,127,5,12,21,9,136,11,23,22,11
20425,44,8,7,4,6,55,5,11,4,6
20429,26,2,4,3,1,31,2,6,5,1
20430,67,4,8,7,6,109,18,19,8,8
20432,342,20,43,57,22,461,32,69,57,36
